ward,n_practices,total_psychotropic_items_12mo,mean_psychotropic_items_per_practice
Abingdon,2,12652,6326.0
Brompton & Hans Town,1,7758,7758.0
Campden,1,9444,9444.0
Chelsea Riverside,2,23173,11586.5
Colville,4,31507,7876.8
Courtfield,2,12840,6420.0
Dalgarno,2,31024,15512.0
Earl's Court,2,14424,7212.0
Golborne,3,22351,7450.3
Holland,1,7418,7418.0
Norland,1,11690,11690.0
Notting Dale,1,7907,7907.0
Pembridge,1,11992,11992.0
Queen's Gate,2,5738,2869.0
Redcliffe,2,8353,4176.5
Royal Hospital,3,21505,7168.3
St. Helen's,2,12823,6411.5
