id,name,postcode,status,prescribing_setting
E85091,BRUNSWICK SURGERY,W5 1AQ,ACTIVE,RO76
E84646,THE STREATFIELD MEDICAL CENTRE,HA3 9BN,ACTIVE,RO76
E87772,GREAT CHAPEL STREET MEDICAL CENTRE,W1D 3HZ,ACTIVE,RO76
E85721,THE TOWN SURGERY,UB1 1PZ,ACTIVE,RO76
Y06487,BABYLON GP AT HAND BIRMINGHAM,B9 4EY,ACTIVE,RO76
E84678,PRESTON MEDICAL CENTRE,HA9 8JZ,ACTIVE,RO76
E84653,ZAIN MEDICAL CENTRE,HA8 0AD,ACTIVE,RO76
E86619,WALLASEY MEDICAL CENTRE,UB10 8SA,ACTIVE,RO76
E85658,HOLLY ROAD MEDICAL CENTRE,W4 1NU,ACTIVE,RO76
E85659,"DR RK KUKAR, PARKVIEW CTR FOR H&W",W12 7FG,ACTIVE,RO76
Y01090,SMS MEDICAL PRACTICE,HA0 4UZ,ACTIVE,RO76
E85649,FULHAM CROSS MEDICAL CENTRE,SW6 7PP,ACTIVE,RO76
E85718,HATTON MEDICAL PRACTICE,TW14 9PY,ACTIVE,RO76
E84699,KINGS EDGE MEDICAL CENTRE,NW9 0QP,ACTIVE,RO76
E84647,KENTON CLINIC,HA3 0UQ,ACTIVE,RO76
E85623,SOMERSET MEDICAL CENTRE,UB5 6WL,ACTIVE,RO76
E84638,ALPERTON MEDICAL CENTRE,HA0 4JB,ACTIVE,RO76
E84701,PEARL MEDICAL PRACTICE,HA0 4UZ,ACTIVE,RO76
E85071,CLIFFORD HOUSE MEDICAL CENTRE,TW13 5AD,ACTIVE,RO76
E87711,ROYAL HOSPITAL CHELSEA,SW3 4SR,ACTIVE,RO76
E87048,ROSARY GARDEN SURGERY,SW7 4NQ,ACTIVE,RO76
E87702,THE SURGERY,SW7 4QS,ACTIVE,RO76
E87648,MAYFAIR MEDICAL CENTRE,W1K 5LS,ACTIVE,RO76
E84063,LANCELOT MEDICAL CENTRE,HA0 2AL,ACTIVE,RO76
E85694,THE BOILEAU ROAD SURGERY,W5 3AJ,ACTIVE,RO76
E85726,MATTOCK LANE HEALTH CENTRE,W13 9NZ,ACTIVE,RO76
E86034,CHURCH ROAD SURGERY,UB8 3NA,ACTIVE,RO76
E84676,HEADSTONE LANE MEDICAL CENTRE,HA2 6LY,ACTIVE,RO76
E85090,HAMMOND ROAD SURGERY,UB2 4EH,ACTIVE,RO76
E85687,ACTON LANE MEDICAL CENTRE,W4 5DG,ACTIVE,RO76
E86620,WEST LONDON MEDICAL CENTRE,UB8 3NG,ACTIVE,RO76
E86615,ACREFIELD SURGERY,HA4 0QR,ACTIVE,RO76
E87755,QUEENS PARK HEALTH CENTRE,W10 4LD,ACTIVE,RO76
Y05080,FIRST CHOICE MEDICAL CARE,HA2 9LG,ACTIVE,RO76
E86024,KING EDWARDS MEDICAL CENTRE,HA4 7AE,ACTIVE,RO76
E85640,THE CHURCHFIELD ROAD SURGERY,W3 6DL,ACTIVE,RO76
E84078,KINGSBURY HEALTH AND WELLBEING,NW9 0EF,ACTIVE,RO76
Y00200,PORTOBELLO MEDICAL CENTRE,W11 2EH,ACTIVE,RO76
E85066,THE BEDFORD PARK SURGERY,W4 5LH,ACTIVE,RO76
E84704,ST. GEORGES MEDICAL CENTRE,NW2 6JH,ACTIVE,RO76
E87751,SRIKRISHNAMURTHY HARROW ROAD SURGERY,W10 4NJ,ACTIVE,RO76
E84656,ROUNDWOOD PARK MEDICAL CENTRE,NW10 3RY,ACTIVE,RO76
E84663,KENTON BRIDGE MEDICAL CENTRE - DR RAJA,HA3 0YX,ACTIVE,RO76
E87746,BROMPTON MEDICAL CENTRE,SW5 0EA,ACTIVE,RO76
E84083,LANFRANC MEDICAL CENTRE,HA1 3QE,ACTIVE,RO76
E86625,KINCORA DOCTORS SURGERY,UB3 3HG,ACTIVE,RO76
E85725,THE GROVE MEDICAL PRACTICE,UB5 4NY,ACTIVE,RO76
E84030,PRESTON HILL SURGERY,HA3 9SN,ACTIVE,RO76
E84620,PRESTON ROAD SURGERY,HA9 8LB,ACTIVE,RO76
E87742,GOLBORNE CANALSIDE HEALTH CENTRE,W10 5PE,ACTIVE,RO76
E84075,MOLLISON WAY SURGERY,HA8 5QL,ACTIVE,RO76
E85074,WEST KENSINGTON GP SURGERY,W14 0LJ,ACTIVE,RO76
E85112,ELMTREES SURGERY,UB6 0PA,ACTIVE,RO76
