ward,n_practices,total_psychotropic_items_12mo,mean_psychotropic_items_per_practice
East Ham,4,56427,14106.8
Stratford,4,54119,13529.8
Plaistow West & Canning Town East,3,48228,16076.0
Green Street West,5,43089,8617.8
Forest Gate South,2,37888,18944.0
Beckton,2,36628,18314.0
Plashet,4,33994,8498.5
Canning Town North,1,29434,29434.0
Manor Park,2,26101,13050.5
Boleyn,2,24216,12108.0
Plaistow South,1,23033,23033.0
Forest Gate North,2,19244,9622.0
Custom House,1,18508,18508.0
Stratford Olympic Park,1,15713,15713.0
Little Ilford,2,14661,7330.5
West Ham,1,14150,14150.0
Royal Albert,1,13766,13766.0
Plaistow North,1,9431,9431.0
Maryland,1,8610,8610.0
Canning Town South,1,6355,6355.0
Green Street East,2,4372,2186.0
