ward_code,ward_name,n_lsoas,pm25_ugm3,no2_ugm3
E05013904,Beckton,10,8.96,25.16
E05013905,Boleyn,8,9.19,23.99
E05013906,Canning Town North,5,9.34,26.68
E05013907,Canning Town South,5,9.45,28.46
E05013908,Custom House,9,9.28,25.56
E05013909,East Ham,8,9.19,23.74
E05013910,East Ham South,8,9.38,25.54
E05013911,Forest Gate North,6,9.0,22.87
E05013912,Forest Gate South,9,9.1,24.0
E05013913,Green Street East,8,9.07,23.32
E05013914,Green Street West,7,9.08,24.57
E05013915,Little Ilford,10,9.02,22.75
E05013916,Manor Park,9,8.98,22.74
E05013917,Maryland,5,9.16,23.48
E05013918,Plaistow North,10,9.12,23.78
E05013919,Plaistow South,7,9.22,24.58
E05013920,Plaistow West & Canning Town East,8,9.21,24.82
E05013921,Plashet,5,9.03,22.82
E05013922,Royal Albert,6,8.73,25.07
E05013923,Royal Victoria,9,8.88,25.91
E05013924,Stratford,9,9.21,25.18
E05013925,Stratford Olympic Park,7,9.55,25.54
E05013926,Wall End,9,9.18,24.13
E05013927,West Ham,8,9.2,24.21
