ward,imd_score_proxy,no2_ugm3,pm25_ugm3,n_practices,mean_psychotropic_items_per_practice,C_data_available,capacity_proxy,D,air_quality_combined,E,M,C,R_raw,equity_flag,R_final,rank
Chelsea Riverside,25444.8,29.4,9.4,2.0,11586.5,True,2.0,1.2501270431023426,19.4,1.0003398470786296,-0.24253562503633308,1.1394048754566504,3.14733614060129,False,3.14733614060129,1
Stanley,15439.5,29.4,9.4,,,False,0.0,-0.24699583949580442,19.4,1.0003398470786296,1.9402850002906638,0.0,2.693629007873489,False,2.693629007873489,2
Notting Dale,27223.2,26.0,9.4,1.0,7907.0,True,1.0,1.516234339676413,17.7,-0.6632688116499603,0.8488746876271653,-0.09467781635508951,1.6071623992985287,True,2.0893111190880873,3
Dalgarno,27173.6,23.1,8.9,2.0,15512.0,True,2.0,1.5088125437305773,16.0,-2.3268774703785504,-0.24253562503633308,2.4559945226116944,1.3953939709273881,False,1.3953939709273881,4
Brompton & Hans Town,13795.7,29.1,9.5,1.0,7758.0,True,1.0,-0.492962536587829,19.3,0.902480514212244,0.8488746876271653,-0.1446515413394486,1.1137411239121318,False,1.1137411239121318,5
Earl's Court,20267.7,28.7,9.5,2.0,7212.0,True,2.0,0.4754621279574829,19.1,0.7067618484794693,-0.24253562503633308,-0.3277767349062946,0.6119116164943246,False,0.6119116164943246,6
Pembridge,14021.2,25.0,9.3,1.0,11992.0,True,1.0,-0.4592202989711776,17.15,-1.2014951424150933,0.8488746876271653,1.2754071941221377,0.4635664403630322,False,0.4635664403630322,7
Norland,12705.2,25.0,9.3,1.0,11690.0,True,1.0,-0.6561373043082651,17.15,-1.2014951424150933,0.8488746876271653,1.1741181676437722,0.16536040854757916,False,0.16536040854757916,8
Campden,8208.7,27.6,9.3,1.0,9444.0,True,1.0,-1.3289620113737772,18.450000000000003,0.07067618484795075,0.8488746876271653,0.42082295747685616,0.011411818578195065,False,0.011411818578195065,9
Holland,14275.0,26.7,9.4,1.0,7418.0,True,1.0,-0.42124344794188223,18.05,-0.3207611466176021,0.8488746876271653,-0.2586855446594626,-0.15181545159178156,False,-0.15181545159178156,10
Courtfield,13106.0,29.7,9.5,2.0,6420.0,True,2.0,-0.5961644048104653,19.6,1.1960585128114078,-0.24253562503633308,-0.593408883816445,-0.23605040085183537,False,-0.23605040085183537,11
Golborne,28844.2,25.3,9.3,3.0,7450.3,True,3.0,1.758789404761078,17.3,-1.0547061431155098,-1.3339459376998315,-0.24785231434406121,-0.8777149903983246,False,-0.8777149903983246,12
St. Helen's,21126.0,26.0,9.4,2.0,6411.5,True,2.0,0.6038921170766486,17.7,-0.6632688116499603,-0.24253562503633308,-0.5962597338994453,-0.8981720535090901,False,-0.8981720535090901,13
Royal Hospital,13087.4,29.1,9.5,3.0,7168.3,True,3.0,-0.5989475782901537,19.3,0.902480514212244,-1.3339459376998315,-0.34243345827419047,-1.3728464600519317,False,-1.3728464600519317,14
Redcliffe,12207.0,28.7,9.5,2.0,4176.5,True,2.0,-0.730684456328734,19.1,0.7067618484794693,-0.24253562503633308,-1.3458656086648315,-1.612323841550429,False,-1.612323841550429,15
Colville,23336.8,26.7,9.4,4.0,7876.8,True,4.0,0.9347007154043332,18.05,-0.3207611466176021,-2.42535625036333,-0.10480671900292599,-1.916223400579525,False,-1.916223400579525,16
Abingdon,8680.2,27.6,9.3,2.0,6326.0,True,2.0,-1.2584100599935062,18.450000000000003,0.07067618484795075,-0.24253562503633308,-0.6249359317931547,-2.0552054319750432,False,-2.0552054319750432,17
Queen's Gate,8681.0,29.7,9.5,2.0,2869.0,True,2.0,-1.2582903536072831,19.6,1.1960585128114078,-0.24253562503633308,-1.7843934302557678,-2.0891608960879764,False,-2.0891608960879764,18
